,WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm),WindDirecValid
0,48300,แม่ฮ่องสอน,MAE HONG SON,แม่ฮ่องสอน,19.29897,97.97578,2025-06-14 07:00:00,1005.68,25.9,35.7,0.2,25.3,0.2,93,0.0,0.0,12.3,True
1,48325,แม่สะเรียง,MAE SARIANG,แม่ฮ่องสอน,18.16667,97.93333,2025-06-14 07:00:00,1005.73,25.0,33.0,-1.0,24.5,-0.1,96,0.0,0.0,8.3,True
2,48303,เชียงราย,CHIANG RAI,เชียงราย,19.96139,99.88139,2025-06-14 07:00:00,1004.64,26.4,33.9,0.0,25.7,1.7,86,190.0,3.0,0.0,True
3,48304,เชียงราย สกษ.,CHAING RAI AGROMET.,เชียงราย,19.87083,99.78278,2025-06-14 07:00:00,1004.57,26.5,32.6,-1.0,24.5,1.9,87,160.0,4.0,0.0,True
4,48310,พะเยา,PHAYAO,พะเยา,19.13333,99.9,2025-06-14 07:00:00,1004.75,26.0,32.0,-2.3,24.7,0.2,92,0.0,0.0,16.2,True
5,48302,ดอยอ่างขาง,DOI ANG KANG,เชียงใหม่,19.93139,99.04833,2025-06-14 07:00:00,1005.02,19.2,21.9,0.3,17.8,0.6,96,0.0,0.0,24.0,True
6,48327,เชียงใหม่,CHIANG MAI,เชียงใหม่,18.79,98.97694,2025-06-14 07:00:00,1005.27,25.9,35.8,1.3,25.2,0.1,93,310.0,2.0,6.5,True
7,48328,ลำปาง,LAMPANG,ลำปาง,18.28333,99.51667,2025-06-14 07:00:00,1006.0,25.6,37.0,2.6,25.3,-0.2,97,0.0,0.0,5.0,True
8,48324,เถิน,THOEN,ลำปาง,17.63661,99.24475,2025-06-14 07:00:00,1005.61,25.1,36.5,1.5,24.8,0.0,97,0.0,0.0,5.1,True
9,48334,ลำปาง สกษ.,LAMPANG AGROMET.,ลำปาง,18.31667,99.28333,2025-06-14 07:00:00,1005.77,24.7,34.2,1.2,24.7,0.0,94,0.0,0.0,0.0,True
10,48329,ลำพูน,LAMPHUN,ลำพูน,18.56722,99.03389,2025-06-14 07:00:00,1005.16,26.4,35.0,0.1,25.5,0.3,96,120.0,5.0,1.8,True
11,48330,แพร่,PHRAE,แพร่,18.16667,100.16667,2025-06-14 07:00:00,1005.54,26.2,34.1,-0.4,25.8,0.7,99,0.0,0.0,0.1,True
12,48331,น่าน,NAN,น่าน,18.77972,100.77778,2025-06-14 07:00:00,1004.93,26.4,31.7,-3.3,26.0,0.7,97,0.0,0.0,0.0,True
13,48333,น่าน สกษ.,NAN AGROMET.,น่าน,18.86667,100.75,2025-06-14 07:00:00,1005.11,26.0,31.5,-2.5,25.5,0.0,95,0.0,0.0,0.0,True
14,48315,ท่าวังผา,THA WANGPHA,น่าน,19.11056,100.8025,2025-06-14 07:00:00,1005.49,26.6,34.9,-1.1,26.1,1.1,90,0.0,0.0,0.0,True
15,48307,ทุ่งช้าง,THUNG CHANG,น่าน,19.41194,100.88353,2025-06-14 07:00:00,1005.51,26.1,33.5,0.0,24.5,0.1,95,0.0,0.0,0.0,True
16,48351,อุตรดิตถ์,UTTARADIT,อุตรดิตถ์,17.61667,100.1,2025-06-14 07:00:00,1005.29,27.0,36.5,1.3,26.5,0.0,93,0.0,0.0,4.7,True
17,48352,หนองคาย,NONG KHAI,หนองคาย,17.86717,102.73303,2025-06-14 07:00:00,1004.71,25.9,34.5,0.0,25.0,-1.5,93,160.0,3.0,6.0,True
18,48353,เลย,LOEI,เลย,17.45,101.73333,2025-06-14 07:00:00,1005.79,26.2,34.0,-1.6,25.7,0.2,90,130.0,3.0,0.0,True
19,48350,เลย สกษ.,LOEI AGROMET.,เลย,17.4,101.73333,2025-06-14 07:00:00,1005.31,25.3,33.1,-1.9,25.1,0.3,97,0.0,0.0,0.0,True
20,48354,อุดรธานี,UDON THANI,อุดรธานี,17.38333,102.8,2025-06-14 07:00:00,1005.8,25.8,33.0,-0.4,25.6,-0.4,97,170.0,3.0,8.0,True
21,48356,สกลนคร,SAKON NAKHON,สกลนคร,17.15,104.13333,2025-06-14 07:00:00,1005.37,26.0,28.7,-4.5,25.2,1.3,98,150.0,2.0,85.4,True
22,48355,สกลนคร สกษ.,SAKON NAKHON AGROMET.,สกลนคร,17.12503,104.061,2025-06-14 07:00:00,1005.71,25.9,28.5,-4.5,24.9,1.4,93,180.0,6.0,83.3,True
23,48357,นครพนม,NAKHON PHANOM,นครพนม,17.41083,104.7825,2025-06-14 07:00:00,1006.45,25.3,27.4,-3.6,23.5,0.4,97,0.0,0.0,25.6,True
24,48358,นครพนม สกษ.,NAKHON PHANOM AGROMET.,นครพนม,17.44306,104.77361,2025-06-14 07:00:00,1006.49,25.0,27.5,-3.4,22.5,-0.2,96,0.0,0.0,26.0,True
25,48360,หนองบัวลำภู,NONG BUA LAM PHU,หนองบัวลำภู,17.2325,102.42944,2025-06-14 07:00:00,1005.02,26.8,33.0,-0.6,26.5,0.2,92,0.0,0.0,0.2,True
26,48363,บึงกาฬ,Bueng Kan,บึงกาฬ,18.41361,103.51672,2025-06-14 07:00:00,1005.34,25.5,32.9,-1.4,24.6,-1.1,98,160.0,2.0,27.9,True
27,48372,สุโขทัย,SUKHOTHAI*,สุโขทัย,17.10611,99.8,2025-06-14 07:00:00,1005.13,27.5,35.3,0.1,26.5,-0.7,92,0.0,0.0,0.0,True
28,48373,ศรีสำโรง สกษ.,SI SAMRONG AGROMET.,สุโขทัย,17.16136,99.86167,2025-06-14 07:00:00,1005.59,27.0,34.5,0.0,26.5,-0.5,90,0.0,0.0,0.0,True
29,48376,ตาก,TAK,ตาก,16.87833,99.14333,2025-06-14 07:00:00,1006.07,28.4,34.9,-0.6,27.0,0.1,75,270.0,4.0,0.0,True
30,48375,แม่สอด,MAE SOT,ตาก,16.65917,98.55083,2025-06-14 07:00:00,1004.9,25.0,33.0,0.0,23.5,0.0,94,0.0,0.0,1.3,True
31,48377,เขื่อนภูมิพล,BHUMIBOL DAM,ตาก,17.24389,99.0025,2025-06-14 07:00:00,1004.54,26.7,34.5,1.1,26.0,-0.4,79,0.0,0.0,0.0,True
32,48387,ดอยมูเซอร์ สกษ.,DOI MU SOE AGROMET.,ตาก,16.75,98.93333,2025-06-14 07:00:00,1006.11,21.7,26.3,-0.1,20.4,-0.1,93,120.0,5.0,5.5,True
33,48385,อุ้มผาง,UMPHANG,ตาก,16.02472,98.86444,2025-06-14 07:00:00,1005.33,23.6,29.8,-2.6,22.8,0.1,95,0.0,0.0,1.9,True
34,48378,พิษณุโลก,PHITSANULOK,พิษณุโลก,16.79481,100.2793,2025-06-14 07:00:00,1006.15,27.0,34.1,-1.2,26.3,-0.5,88,120.0,3.0,0.0,True
35,48379,เพชรบูรณ์,PHETCHABUN,เพชรบูรณ์,16.43333,101.15,2025-06-14 07:00:00,1005.3,26.2,33.2,-1.2,25.9,-0.1,86,0.0,0.0,0.0,True
36,48374,หล่มสัก,LOM SAK,เพชรบูรณ์,16.77361,101.24944,2025-06-14 07:00:00,1007.25,26.1,33.2,-1.7,25.5,-0.2,87,0.0,0.0,1.9,True
37,48413,วิเชียรบุรี,WICHIAN BURI,เพชรบูรณ์,15.657,101.108,2025-06-14 07:00:00,1006.95,26.9,33.0,-0.6,25.8,-0.6,83,0.0,0.0,0.0,True
38,48380,กำแพงเพชร,KAMPHAENG PHET,กำแพงเพชร,16.48681,99.52697,2025-06-14 07:00:00,1006.28,27.4,34.3,-0.4,26.1,0.1,93,0.0,0.0,0.0,True
39,48381,ขอนแก่น,KHON KAEN,ขอนแก่น,16.46111,102.78972,2025-06-14 07:00:00,1006.75,26.0,30.3,-3.7,25.2,0.2,94,230.0,4.0,3.4,True
40,48384,ท่าพระ สกษ.,THA PHRA AGROMET.,ขอนแก่น,16.33333,102.81667,2025-06-14 07:00:00,1006.66,26.7,31.8,-2.2,24.5,1.1,88,0.0,0.0,2.1,True
41,48383,มุกดาหาร,MUKDAHAN,มุกดาหาร,16.54139,104.72889,2025-06-14 07:00:00,1004.94,26.0,27.7,-3.8,25.6,0.0,96,0.0,0.0,43.4,True
42,48386,พิจิตร สกษ.,PICHIT AGROMET.,พิจิตร,16.43806,100.2925,2025-06-14 07:00:00,1004.67,27.0,34.5,-0.7,26.8,0.4,90,110.0,8.0,0.0,True
43,48382,มหาสารคาม,MAHASARAKHAM,มหาสารคาม,16.24722,103.06805,2025-06-14 07:00:00,1004.42,27.0,31.7,-2.0,26.0,0.2,80,240.0,3.0,3.6,True
44,48390,กาฬสินธุ์,KALASIN,กาฬสินธุ์,16.3325,103.58833,2025-06-14 07:00:00,1006.91,26.2,29.0,-3.6,25.5,0.4,89,220.0,3.0,22.8,True
45,48391,อำนาจเจริญ,Amnat Charoen,อำนาจเจริญ,15.90375,104.61805,2025-06-14 07:00:00,1007.76,25.2,26.9,-1.7,24.7,0.0,98,0.0,0.0,5.0,True
46,48400,นครสวรรค์,NAKHON SAWAN,นครสวรรค์,15.67183,100.13236,2025-06-14 07:00:00,1006.58,27.5,32.9,-1.9,26.9,0.9,82,160.0,6.0,0.0,True
47,48401,ตากฟ้า สกษ.,TAKFA AGROMET.,นครสวรรค์,15.34944,100.53028,2025-06-14 07:00:00,1007.86,26.7,34.0,-0.6,25.3,0.6,79,120.0,2.0,0.0,True
48,48402,ชัยนาท สกษ.,CHAINAT AGROMET.,ชัยนาท,15.15,100.18333,2025-06-14 07:00:00,1007.24,26.5,33.9,-0.4,26.0,0.1,83,160.0,6.0,0.0,True
49,48403,ชัยภูมิ,CHAIYAPHUM,ชัยภูมิ,15.8,102.03333,2025-06-14 07:00:00,1006.94,25.9,31.7,-1.5,25.5,-0.3,88,220.0,4.0,0.01,True
50,48405,ร้อยเอ็ด,ROI ET,ร้อยเอ็ด,16.02,103.74389,2025-06-14 07:00:00,1006.32,26.0,29.0,-3.2,25.6,0.0,88,210.0,5.0,5.9,True
51,48404,ร้อยเอ็ด สกษ.,ROI ET AGROMET.,ร้อยเอ็ด,16.07322,103.60844,2025-06-14 07:00:00,1006.95,26.0,28.5,-3.2,25.3,0.1,88,200.0,5.0,6.2,True
52,48406,ยโสธร,Yasothon,ยโสธร,15.79494,104.21436,2025-06-14 07:00:00,1007.64,25.5,27.5,-2.1,25.1,-0.1,95,250.0,2.0,5.2,True
53,48408,อุบลราชธานี สกษ.,UBON RATCHATHANI AGROMET.,อุบลราชธานี,15.23914,105.0235,2025-06-14 07:00:00,1008.1,25.3,27.3,-0.3,24.2,-0.4,93,190.0,5.0,2.6,True
54,48407,อุบลราชธานี (ศูนย์ฯ),UBON RATCHATHANI,อุบลราชธานี,15.25,104.86667,2025-06-14 07:00:00,1008.22,25.9,27.7,-0.5,25.4,0.4,93,190.0,1.0,2.8,True
55,48409,ศรีสะเกษ,SI SAKET AGROMET.,ศรีสะเกษ,15.0,104.05,2025-06-14 07:00:00,1008.12,26.0,29.6,0.5,25.6,0.2,90,0.0,0.0,0.3,True
56,48410,อุทัยธานี,UTHAITHANI,อุทัยธานี,15.37417,100.03889,2025-06-14 07:00:00,1007.11,27.2,36.1,-0.1,26.7,0.5,80,0.0,0.0,0.01,True
57,48415,พระนครศรีอยุธยา,AYUTTHAYA,พระนครศรีอยุธยา,14.53472,100.725,2025-06-14 07:00:00,1008.23,26.3,35.6,-1.6,24.0,-1.0,87,140.0,4.0,1.4,True
58,48417,นครนายก,NAKORNNAYOK,นครนายก,14.36222,101.39278,2025-06-14 07:00:00,1007.77,19.7,23.2,-1.6,18.7,-0.3,99,190.0,8.0,10.2,True
59,48419,ปทุมธานี สกษ.,PATHUMTHANI,ปทุมธานี,14.1,100.61667,2025-06-14 07:00:00,1007.59,26.5,34.0,-2.5,25.2,-1.8,93,0.0,0.0,10.4,True
60,48458,ฉะเชิงเทรา,CHACHOENGSAO,ฉะเชิงเทรา,13.51556,101.45833,2025-06-14 07:00:00,1009.65,25.9,31.6,-1.4,25.4,-0.1,97,0.0,0.0,11.2,True
61,48464,ราชบุรี,RATCHA BURI,ราชบุรี,13.48931,99.79239,2025-06-14 07:00:00,1008.38,25.7,32.2,-2.3,25.3,-0.2,93,0.0,0.0,0.0,True
62,48425,สุพรรณบุรี,SUPHAN BURI,สุพรรณบุรี,14.47444,100.13889,2025-06-14 07:00:00,1007.9,27.0,32.8,-2.7,25.5,-1.0,86,170.0,6.0,2.5,True
63,48427,อู่ทอง สกษ.,U THONG AGROMET.,สุพรรณบุรี,14.30361,99.86472,2025-06-14 07:00:00,1007.62,26.2,31.9,-4.1,25.2,0.0,84,140.0,6.0,0.1,True
64,48426,ลพบุรี,LOP BURI,ลพบุรี,14.79972,100.645,2025-06-14 07:00:00,1007.56,26.5,34.5,-0.5,26.3,0.1,87,170.0,3.0,0.0,True
65,48418,บัวชุม,BUA CHUM,ลพบุรี,15.26667,101.18736,2025-06-14 07:00:00,1007.87,27.0,32.5,-2.3,25.3,0.3,88,180.0,3.0,0.0,True
66,48457,นำร่อง,PILOT STATION,สมุทรปราการ,13.39389,100.59944,2025-06-14 07:00:00,1005.99,28.7,31.1,-0.4,27.7,-0.5,83,200.0,5.0,0.0,True
67,48420,สมุทรปราการ สกษ.,Samut Prakarn,สมุทรปราการ,13.51667,100.76167,2025-06-14 07:00:00,1007.97,28.4,31.8,-1.1,28.3,0.8,82,220.0,10.0,4.8,True
68,48429,สนามบินสุวรรณภูมิ,SUVARNABHUMI AIRPORT,สมุทรปราการ,13.68639,100.7675,2025-06-14 07:00:00,1008.55,26.3,32.3,-1.0,25.3,-0.5,100,200.0,5.0,11.8,True
69,48430,ปราจีนบุรี,PRACHIN BURI,ปราจีนบุรี,14.05842,101.3693,2025-06-14 07:00:00,1007.81,27.0,34.0,0.1,25.5,-0.9,92,0.0,0.0,7.6,True
70,48439,กบินทร์บุรี,KABIN BURI,ปราจีนบุรี,13.98333,101.70722,2025-06-14 07:00:00,1008.29,26.1,32.4,-0.6,25.0,-1.3,98,,,1.6,True
71,48431,นครราชสีมา,NAKHON RATCHASIMA,นครราชสีมา,14.9683,102.08603,2025-06-14 07:00:00,1007.37,26.6,31.6,-1.8,25.9,-0.4,91,230.0,2.0,0.01,True
72,48435,ปากช่อง สกษ.,PAKCHONG AGROMET.,นครราชสีมา,14.64389,101.33194,2025-06-14 07:00:00,1007.93,26.3,30.6,-0.3,24.7,0.1,74,180.0,3.0,12.8,True
73,48434,โชคชัย,CHOK CHAI,นครราชสีมา,14.71889,102.16861,2025-06-14 07:00:00,1007.81,26.8,32.5,-0.2,25.8,-0.4,78,0.0,0.0,0.0,True
74,48432,สุรินทร์,SURIN,สุรินทร์,14.88333,103.5,2025-06-14 07:00:00,1008.17,26.0,30.0,-1.8,25.0,-0.2,89,120.0,7.0,0.01,True
75,48433,สุรินทร์ สกษ.,SURIN AGROMET.,สุรินทร์,14.88333,103.45,2025-06-14 07:00:00,1007.91,25.7,30.2,-1.8,24.9,-0.3,93,180.0,3.0,0.01,True
76,48416,ท่าตูม,THA TUM,สุรินทร์,15.31667,103.68333,2025-06-14 07:00:00,1007.71,26.0,30.9,-2.4,25.0,0.2,84,0.0,0.0,0.3,True
77,48437,บุรีรัมย์,BURIRUM,บุรีรัมย์,15.22575,103.24808,2025-06-14 07:00:00,1007.04,25.3,30.5,-1.0,22.8,-2.7,97,0.0,0.0,3.0,True
78,48436,นางรอง,NANG RONG,บุรีรัมย์,14.58333,102.8,2025-06-14 07:00:00,1007.77,25.8,29.9,-1.8,24.3,-0.7,81,150.0,2.0,0.0,True
79,48438,สมุทรสงคราม,SAMUTSONGKRAM,สมุทรสงคราม,13.40778,100.03222,2025-06-14 07:00:00,1007.75,28.1,31.7,-3.7,27.4,0.0,81,220.0,7.0,0.7,True
80,48462,อรัญประเทศ,ARANYA PRATHET,สระแก้ว,13.7,102.58333,2025-06-14 07:00:00,1008.3,26.5,31.7,-0.7,25.2,-0.9,92,0.0,0.0,12.0,True
81,48440,สระแก้ว,SA KAEW,สระแก้ว,13.78889,102.03472,2025-06-14 07:00:00,1008.65,26.0,31.6,-0.3,25.5,-0.1,95,0.0,0.0,17.6,True
82,48450,กาญจนบุรี,KANCHANA BURI,กาญจนบุรี,14.0225,99.53583,2025-06-14 07:00:00,1007.47,26.8,31.5,-2.9,23.7,-0.7,83,0.0,0.0,4.0,True
83,48421,ทองผาภูมิ,THONG PHAPHUM,กาญจนบุรี,14.74222,98.63639,2025-06-14 07:00:00,1007.79,25.0,28.0,-5.5,24.8,-0.1,97,0.0,0.0,12.9,True
84,48451,นครปฐม,NAKHONPATHOM,นครปฐม,14.01167,99.97,2025-06-14 07:00:00,1007.71,26.3,33.2,-1.5,25.3,-0.3,89,0.0,0.0,0.01,True
85,48455,กรุงเทพมหานคร,BANGKOK METROPOLIS,กรุงเทพมหานคร,13.72639,100.56,2025-06-14 07:00:00,1007.63,26.6,32.6,-2.0,26.4,-0.4,96,0.0,0.0,13.8,True
86,48454,กรุงเทพฯ ท่าเรือคลองเตย,BANGKOK PORT (KLONG TOEI),กรุงเทพมหานคร,13.70694,100.56805,2025-06-14 07:00:00,1008.08,26.8,32.8,-1.6,26.6,-0.4,96,0.0,0.0,14.7,True
87,48453,กรุงเทพฯ บางนา สกษ.,BANG NA AGROMET.,กรุงเทพมหานคร,13.66639,100.60611,2025-06-14 07:00:00,1008.01,27.0,33.2,-1.4,26.6,0.0,92,0.0,0.0,13.7,True
88,48456,สนามบินดอนเมือง,DON MUANG AIRPORT,กรุงเทพมหานคร,13.91917,100.605,2025-06-14 07:00:00,1008.52,27.0,32.6,-1.5,26.7,-1.0,87,170.0,6.0,9.6,True
89,48459,ชลบุรี,CHON BURI,ชลบุรี,13.36667,100.98333,2025-06-14 07:00:00,1007.99,27.5,32.9,-0.3,27.0,0.0,88,0.0,0.0,6.6,True
90,48460,เกาะสีชัง,KO SICHANG,ชลบุรี,13.16167,100.80194,2025-06-14 07:00:00,1006.7,26.7,32.0,-1.0,24.9,-1.1,81,140.0,4.0,2.4,True
91,48461,พัทยา,PHATTHAYA,ชลบุรี,12.92,100.86944,2025-06-14 07:00:00,1008.72,26.2,32.0,0.5,25.4,-2.1,94,0.0,0.0,9.6,True
92,48477,สัตหีบ,SATTAHIP,ชลบุรี,12.68333,100.98333,2025-06-14 07:00:00,1009.01,26.8,32.5,-1.2,25.8,-1.7,90,240.0,10.0,13.3,True
93,48463,แหลมฉบัง,LAEM CHABANG,ชลบุรี,13.07694,100.87583,2025-06-14 07:00:00,1009.32,27.6,32.2,0.8,26.4,-2.1,89,210.0,9.0,7.5,True
94,48465,เพชรบุรี,PHETCHA BURI,เพชรบุรี,12.99944,100.06056,2025-06-14 07:00:00,1007.9,27.5,31.8,-2.0,24.0,-0.9,83,,,11.6,True
95,48478,ระยอง,RAYONG,ระยอง,12.63222,101.34361,2025-06-14 07:00:00,1008.62,29.4,31.5,-0.5,27.8,-0.2,81,250.0,12.0,6.2,True
96,48479,ห้วยโป่ง สกษ.,HUAI PONG AGROMET.,ระยอง,12.735,101.135,2025-06-14 07:00:00,1008.5,27.0,32.4,-0.9,26.3,0.2,96,0.0,0.0,15.9,True
97,48480,จันทบุรี,CHANTHA BURI,จันทบุรี,12.61667,102.11333,2025-06-14 07:00:00,1008.84,28.0,31.6,1.2,26.2,-0.6,86,0.0,0.0,22.7,True
98,48481,พลิ้ว สกษ.,PHLIU  AGROMET.,จันทบุรี,12.50861,102.17305,2025-06-14 07:00:00,1009.05,26.7,31.5,1.5,25.4,-0.8,94,0.0,0.0,11.2,True
99,48500,ประจวบคีรีขันธ์,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,11.83333,99.83333,2025-06-14 07:00:00,1009.53,25.0,30.5,2.0,24.5,-0.5,94,0.0,0.0,10.7,True
100,48475,หัวหิน,HUA HIN,ประจวบคีรีขันธ์,12.58611,99.9625,2025-06-14 07:00:00,1008.18,25.5,31.7,-0.8,25.3,-1.7,97,200.0,4.0,6.0,True
101,48474,หนองพลับ สกษ.,NONG PHLUB AGROMET.,ประจวบคีรีขันธ์,12.58333,99.73333,2025-06-14 07:00:00,1008.18,25.2,30.6,-1.2,24.0,-0.6,97,0.0,0.0,3.4,True
102,48501,ตราด,TRAD,ตราด,11.76667,102.88333,2025-06-14 07:00:00,1009.29,26.1,32.0,2.7,24.7,0.2,97,140.0,1.0,31.9,True
103,48517,ชุมพร,CHUMPHON,ชุมพร,10.49875,99.18847,2025-06-14 07:00:00,1009.74,25.0,31.1,-0.1,24.9,-0.1,94,0.0,0.0,3.8,True
104,48520,สวี สกษ.,SAWI AGROMET.,ชุมพร,10.33333,99.1,2025-06-14 07:00:00,1009.37,24.5,31.3,-0.1,24.5,0.3,96,0.0,0.0,5.2,True
105,48532,ระนอง,RANONG,ระนอง,9.98333,98.61667,2025-06-14 07:00:00,1009.51,26.6,31.6,-0.1,25.5,1.4,91,110.0,4.0,7.5,True
106,48551,สุราษฎร์ธานี,SURAT THANI,สุราษฎร์ธานี,9.13556,99.15194,2025-06-14 07:00:00,1009.67,25.0,35.0,2.0,24.6,0.1,96,0.0,0.0,0.0,True
107,48550,เกาะสมุย,KO SAMUI,สุราษฎร์ธานี,9.46667,100.05,2025-06-14 07:00:00,1009.13,27.5,35.3,3.2,25.5,-1.1,83,260.0,5.0,0.9,True
108,48555,สุราษฎร์ธานี สกษ.,SURAT THANI AGROMET.,สุราษฎร์ธานี,9.1,99.63333,2025-06-14 07:00:00,1010.51,25.0,34.7,3.1,24.6,-0.2,96,0.0,0.0,1.0,True
109,48556,พระแสง สอท.,PHRA SANG,สุราษฎร์ธานี,8.57022,99.25825,2025-06-14 07:00:00,1009.74,25.8,34.6,1.0,25.0,0.5,93,0.0,0.0,0.0,True
110,48552,นครศรีธรรมราช,NAKHONSI THAMMARAT,นครศรีธรรมราช,8.53778,99.94722,2025-06-14 07:00:00,1009.4,26.7,35.6,2.1,25.0,0.0,86,260.0,3.0,0.0,True
111,48554,นครศรีธรรมราช สกษ.,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช,8.35931,100.0,2025-06-14 07:00:00,1009.53,26.1,34.5,1.5,25.4,0.0,93,0.0,0.0,0.0,True
112,48557,ฉวาง,CHAWANG,นครศรีธรรมราช,8.42472,99.50667,2025-06-14 07:00:00,1009.45,25.2,33.8,1.8,25.0,0.2,96,0.0,0.0,0.0,True
113,48560,พัทลุง สกษ.,PHATTHALUNG AGROMET.,พัทลุง,7.58333,100.16667,2025-06-14 07:00:00,1009.62,25.1,34.7,3.0,24.7,-0.1,98,0.0,0.0,0.0,True
114,48561,ตะกั่วป่า,TAKUA PA,พังงา,8.68417,98.25222,2025-06-14 07:00:00,1009.18,26.2,33.4,0.9,25.8,-0.3,94,0.0,0.0,0.0,True
115,48564,ภูเก็ต,PHUKET,ภูเก็ต,7.88333,98.4,2025-06-14 07:00:00,1009.35,27.2,33.7,1.3,26.8,0.4,94,300.0,2.0,0.0,True
116,48565,ภูเก็ต (ศูนย์ฯ),PHUKET AIRPORT,ภูเก็ต,8.145,98.31444,2025-06-14 07:00:00,1008.97,26.0,34.9,2.4,25.0,-1.5,96,0.0,0.0,3.6,True
117,48566,เกาะลันตา,KO LANTA,กระบี่,7.53333,99.05,2025-06-14 07:00:00,1009.53,27.1,33.2,3.4,25.6,1.4,96,0.0,0.0,0.0,True
118,48563,กระบี่,KRABI,กระบี่,8.10361,98.97528,2025-06-14 07:00:00,1009.52,25.7,33.5,0.9,,0.0,96,0.0,0.0,0.0,True
119,48567,ตรัง,TRANG AIRPORT,ตรัง,7.51667,99.61667,2025-06-14 07:00:00,1009.68,26.1,34.3,4.1,25.5,1.7,93,0.0,0.0,0.0,True
120,48571,คอหงษ์ สกษ.,KHO HONG AGROMET.,สงขลา,7.0,100.5,2025-06-14 07:00:00,1009.49,26.0,33.8,0.5,25.4,0.9,93,0.0,0.0,0.0,True
121,48574,สะเดา,SA DAO,สงขลา,6.79806,100.39056,2025-06-14 07:00:00,1009.54,24.8,33.1,1.9,24.6,0.5,97,0.0,0.0,0.0,True
122,48568,สงขลา,SONGKHLA,สงขลา,7.18211,100.60769,2025-06-14 07:00:00,1009.88,27.0,32.8,0.1,26.5,1.8,88,0.0,0.0,0.0,True
123,48569,หาดใหญ่,HAT YAI AIRPORT,สงขลา,6.91667,100.43333,2025-06-14 07:00:00,1009.52,25.4,33.7,1.7,25.0,2.0,94,140.0,1.0,0.0,True
124,48570,สตูล,SATUN,สตูล,6.65,100.08333,2025-06-14 07:00:00,1009.62,25.0,33.9,2.4,24.6,0.8,96,0.0,0.0,0.0,True
125,48580,ปัตตานี,PATTANI AIRPORT,ปัตตานี,6.78333,101.15,2025-06-14 07:00:00,1009.38,26.6,34.7,2.2,25.4,0.8,94,0.0,0.0,0.0,True
126,48581,ยะลา สกษ.,YALA AGROMET.,ยะลา,6.51667,101.28333,2025-06-14 07:00:00,1010.28,26.2,35.0,1.7,25.6,0.9,95,220.0,3.0,0.0,True
127,48583,นราธิวาส,NARATHIWAT,นราธิวาส,6.41667,101.81667,2025-06-14 07:00:00,1009.41,27.1,33.6,0.4,25.8,1.3,91,230.0,2.0,0.0,True
