WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,Observation
48360,หนองบัวลำภู,NONG BUA LAM PHU,หนองบัวลำภู,"{'@Unit': 'decimal degree', '#text': '17.23250'}","{'@Unit': 'decimal degree', '#text': '102.42944'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.46'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.7'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '32.7'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.5'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'RelativeHumidity': {'@Unit': '%', '#text': '98'}, 'WindDirection': {'@Unit': 'degree', '#text': '110'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '1'}, 'Rainfall': {'@Unit': 'mm', '#text': '8.60'}}"
48363,บึงกาฬ,Bueng Kan,บึงกาฬ,"{'@Unit': 'decimal degree', '#text': '18.41361'}","{'@Unit': 'decimal degree', '#text': '103.51672'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.87'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.3'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.9'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'RelativeHumidity': {'@Unit': '%', '#text': '96'}, 'WindDirection': {'@Unit': 'degree', '#text': '320'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '1'}, 'Rainfall': {'@Unit': 'mm', '#text': '2.50'}}"
48372,สุโขทัย,SUKHOTHAI*,สุโขทัย,"{'@Unit': 'decimal degree', '#text': '17.10611'}","{'@Unit': 'decimal degree', '#text': '99.80000'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.20'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.2'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.5'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.7'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '1.20'}}"
48373,ศรีสำโรง สกษ.,SI SAMRONG AGROMET.,สุโขทัย,"{'@Unit': 'decimal degree', '#text': '17.16136'}","{'@Unit': 'decimal degree', '#text': '99.86167'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.69'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.9'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.4'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.9'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.1'}, 'RelativeHumidity': {'@Unit': '%', '#text': '94'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48376,ตาก,TAK,ตาก,"{'@Unit': 'decimal degree', '#text': '16.87833'}","{'@Unit': 'decimal degree', '#text': '99.14333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.05'}, 'Temperature': {'@Unit': 'celcius', '#text': '28.2'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.7'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '0.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '27.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '75'}, 'WindDirection': {'@Unit': 'degree', '#text': '270'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '5'}, 'Rainfall': {'@Unit': 'mm', '#text': '2.60'}}"
48375,แม่สอด,MAE SOT,ตาก,"{'@Unit': 'decimal degree', '#text': '16.65917'}","{'@Unit': 'decimal degree', '#text': '98.55083'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.69'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.0'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48377,เขื่อนภูมิพล,BHUMIBOL DAM,ตาก,"{'@Unit': 'decimal degree', '#text': '17.24389'}","{'@Unit': 'decimal degree', '#text': '99.00250'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.93'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.8'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.7'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.9'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.4'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.3'}, 'RelativeHumidity': {'@Unit': '%', '#text': '82'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.30'}}"
48387,ดอยมูเซอร์ สกษ.,DOI MU SOE AGROMET.,ตาก,"{'@Unit': 'decimal degree', '#text': '16.75000'}","{'@Unit': 'decimal degree', '#text': '98.93333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1006.35'}, 'Temperature': {'@Unit': 'celcius', '#text': '21.2'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '26.8'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '20.8'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.8'}, 'RelativeHumidity': {'@Unit': '%', '#text': '93'}, 'WindDirection': {'@Unit': 'degree', '#text': '240'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '6'}, 'Rainfall': {'@Unit': 'mm', '#text': '13.70'}}"
48385,อุ้มผาง,UMPHANG,ตาก,"{'@Unit': 'decimal degree', '#text': '16.02472'}","{'@Unit': 'decimal degree', '#text': '98.86444'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1006.29'}, 'Temperature': {'@Unit': 'celcius', '#text': '23.2'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '31.1'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.3'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '22.6'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.2'}, 'RelativeHumidity': {'@Unit': '%', '#text': '95'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '1.00'}}"
48378,พิษณุโลก,PHITSANULOK,พิษณุโลก,"{'@Unit': 'decimal degree', '#text': '16.79481'}","{'@Unit': 'decimal degree', '#text': '100.27930'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.73'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.4'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.3'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.8'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '060'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '2'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48379,เพชรบูรณ์,PHETCHABUN,เพชรบูรณ์,"{'@Unit': 'decimal degree', '#text': '16.43333'}","{'@Unit': 'decimal degree', '#text': '101.15000'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1003.42'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.4'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.7'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.2'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '0.4'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '5.40'}}"
48374,หล่มสัก,LOM SAK,เพชรบูรณ์,"{'@Unit': 'decimal degree', '#text': '16.77361'}","{'@Unit': 'decimal degree', '#text': '101.24944'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.27'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.4'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.8'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.3'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.2'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '1.9'}, 'RelativeHumidity': {'@Unit': '%', '#text': '89'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48413,วิเชียรบุรี,WICHIAN BURI,เพชรบูรณ์,"{'@Unit': 'decimal degree', '#text': '15.65700'}","{'@Unit': 'decimal degree', '#text': '101.10800'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.54'}, 'Temperature': {'@Unit': 'celcius', '#text': '28.2'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '27.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '1.3'}, 'RelativeHumidity': {'@Unit': '%', '#text': '78'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '2.50'}}"
48380,กำแพงเพชร,KAMPHAENG PHET,กำแพงเพชร,"{'@Unit': 'decimal degree', '#text': '16.48681'}","{'@Unit': 'decimal degree', '#text': '99.52697'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.97'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '32.6'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-2.0'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.1'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-2.0'}, 'RelativeHumidity': {'@Unit': '%', '#text': '93'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '6.70'}}"
48381,ขอนแก่น,KHON KAEN,ขอนแก่น,"{'@Unit': 'decimal degree', '#text': '16.46111'}","{'@Unit': 'decimal degree', '#text': '102.78972'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1006.48'}, 'Temperature': {'@Unit': 'celcius', '#text': '23.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.4'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.2'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '99'}, 'WindDirection': {'@Unit': 'degree', '#text': '090'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '2'}, 'Rainfall': {'@Unit': 'mm', '#text': '81.50'}}"
48384,ท่าพระ สกษ.,THA PHRA AGROMET.,ขอนแก่น,"{'@Unit': 'decimal degree', '#text': '16.33333'}","{'@Unit': 'decimal degree', '#text': '102.81667'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.65'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.0'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.0'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '22.5'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.6'}, 'RelativeHumidity': {'@Unit': '%', '#text': '97'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '82.50'}}"
48383,มุกดาหาร,MUKDAHAN,มุกดาหาร,"{'@Unit': 'decimal degree', '#text': '16.54139'}","{'@Unit': 'decimal degree', '#text': '104.72889'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1003.97'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.3'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '33.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-3.5'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.4'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.7'}, 'RelativeHumidity': {'@Unit': '%', '#text': '96'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '36.10'}}"
48386,พิจิตร สกษ.,PICHIT AGROMET.,พิจิตร,"{'@Unit': 'decimal degree', '#text': '16.43806'}","{'@Unit': 'decimal degree', '#text': '100.29250'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1003.23'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.1'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.3'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '27.2'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '1.1'}, 'RelativeHumidity': {'@Unit': '%', '#text': '92'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48382,มหาสารคาม,MAHASARAKHAM,มหาสารคาม,"{'@Unit': 'decimal degree', '#text': '16.24722'}","{'@Unit': 'decimal degree', '#text': '103.06805'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1006.10'}, 'Temperature': {'@Unit': 'celcius', '#text': '23.5'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.0'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.7'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.1'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-2.2'}, 'RelativeHumidity': {'@Unit': '%', '#text': '98'}, 'WindDirection': {'@Unit': 'degree', '#text': '340'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '2'}, 'Rainfall': {'@Unit': 'mm', '#text': '96.80'}}"
48390,กาฬสินธุ์,KALASIN,กาฬสินธุ์,"{'@Unit': 'decimal degree', '#text': '16.33250'}","{'@Unit': 'decimal degree', '#text': '103.58833'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.82'}, 'Temperature': {'@Unit': 'celcius', '#text': '25.6'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '35.2'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.2'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '24.1'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-1.7'}, 'RelativeHumidity': {'@Unit': '%', '#text': '97'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '43.40'}}"
48391,อำนาจเจริญ,Amnat Charoen,อำนาจเจริญ,"{'@Unit': 'decimal degree', '#text': '15.90375'}","{'@Unit': 'decimal degree', '#text': '104.61805'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.00'}, 'Temperature': {'@Unit': 'celcius', '#text': '24.1'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '32.5'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-1.5'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '23.3'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-2.4'}, 'RelativeHumidity': {'@Unit': '%', '#text': '100'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '101.20'}}"
48400,นครสวรรค์,NAKHON SAWAN,นครสวรรค์,"{'@Unit': 'decimal degree', '#text': '15.67183'}","{'@Unit': 'decimal degree', '#text': '100.13236'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.23'}, 'Temperature': {'@Unit': 'celcius', '#text': '26.7'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.6'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.9'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '25.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '-0.3'}, 'RelativeHumidity': {'@Unit': '%', '#text': '93'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48401,ตากฟ้า สกษ.,TAKFA AGROMET.,นครสวรรค์,"{'@Unit': 'decimal degree', '#text': '15.34944'}","{'@Unit': 'decimal degree', '#text': '100.53028'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.79'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.2'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.7'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.8'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '1.3'}, 'RelativeHumidity': {'@Unit': '%', '#text': '87'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48402,ชัยนาท สกษ.,CHAINAT AGROMET.,ชัยนาท,"{'@Unit': 'decimal degree', '#text': '15.15000'}","{'@Unit': 'decimal degree', '#text': '100.18333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1005.88'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.3'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.7'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.2'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '26.7'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '1.8'}, 'RelativeHumidity': {'@Unit': '%', '#text': '87'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
48403,ชัยภูมิ,CHAIYAPHUM,ชัยภูมิ,"{'@Unit': 'decimal degree', '#text': '15.80000'}","{'@Unit': 'decimal degree', '#text': '102.03333'}","{'@type': 'ObservationToday', 'DateTime': '2025-06-11 07:00', 'MeanSeaLevelPressure': {'@unit': 'mb', '#text': '1004.50'}, 'Temperature': {'@Unit': 'celcius', '#text': '27.2'}, 'MaxTemperature': {'@Unit': 'celcius', '#text': '34.9'}, 'DifferentFromMaxTemperature': {'@Unit': 'celcius', '#text': '-0.6'}, 'MinTemperature': {'@Unit': 'celcius', '#text': '27.0'}, 'DifferentFromMinTemperature': {'@Unit': 'celcius', '#text': '1.7'}, 'RelativeHumidity': {'@Unit': '%', '#text': '86'}, 'WindDirection': {'@Unit': 'degree', '#text': '000'}, 'WindSpeed': {'@Unit': 'km/h', '#text': '0'}, 'Rainfall': {'@Unit': 'mm', '#text': '0.00'}}"
